Country,recovered
Afghanistan,745.0
Albania,705.0
Algeria,3271.0
Andorra,604.0
Angola,17.0
Antigua and Barbuda,19.0
Argentina,2497.0
Armenia,1666.0
Australia,6359.0
Austria,14471.0
Azerbaijan,1886.0
Bahrain,2640.0
Bangladesh,3882.0
Barbados,65.0
Belarus,8807.0
Belgium,14301.0
Belize,10.0
Benin,16.0
Bhutan,83.0
Bolivia,5.0
Bosnia and Herzegovina,434.0
Botswana,0.0
Brazil,1336.0
Brunei,84970.0
Bulgaria,135.0
Burkina Faso,545.0
Burundi,0.0
Cabo Verde,595.0
Cambodia,67.0
Cameroon,122.0
Canada,59724.0
Central African Republic,252.0
Chad,145.0
Chile,162.0
China,84186.0
Colombia,5381.0
Comoros,0.0
Costa Rica,8959.0
Croatia,15.0
Cuba,3433.0
Cyprus,2799.0
Czech Republic,417.0
Democratic Republic of the Congo,11.0
Denmark,984.0
Diamond Princess,3557.0
Djibouti,66.0
Dominica,14.0
Dominican Republic,112.0
East Timor,6.0
Ecuador,15.0
Egypt,5000.0
El Salvador,124.0
England,1015.0
Equatorial Guinea,59.0
Eritrea,109.0
Estonia,91.0
Eswatini,627.0
Ethiopia,18.0
Falkland Islands,0.0
Fiji,354.0
Finland,6.0
France,213982.0
Gabon,895.0
Gambia,26.0
Georgia,43.0
Germany,29.0
Ghana,2.0
Greece,264.0
Greenland,11.0
Grenada,690.0
Guatemala,1287.0
Guinea,1782.0
Guinea-Bissau,97.0
Guyana,30258.0
Haiti,3803.0
Holy See,91836.0
Honduras,2089.0
Hungary,19470.0
Iceland,12587.0
India,120205.0
Indonesia,121.0
Iran,10338.0
Iraq,401.0
Ireland,2707.0
Israel,284.0
Italy,9851.0
Ivory Coast,935.0
Jamaica,3640.0
Japan,745.0
Jordan,662.0
Kazakhstan,246.0
Kenya,108.0
Kosovo,4.0
Kuwait,55.0
Kyrgyzstan,965.0
Laos,0.0
Latvia,3682.0
Lebanon,112.0
Lesotho,0.0
Liberia,5439.0
Libya,17.0
Liechtenstein,49.0
Lithuania,455.0
Luxembourg,458.0
MS Zaandam,0.0
Macedonia,10880.0
Madagascar,7.0
Malawi,0.0
Malaysia,322.0
Maldives,30451.0
Mali,6.0
Malta,2228.0
Mauritania,87.0
Mauritius,20.0
Mexico,311.0
Moldova,3400.0
Monaco,42.0
Mongolia,13.0
Montenegro,36.0
Morocco,93.0
Mozambique,89.0
Myanmar,6.0
Namibia,14.0
Nepal,46.0
Netherlands,2119.0
New Caledonia,393.0
New Zealand,1320.0
Nicaragua,1251.0
Niger,32.0
Nigeria,1350.0
Norway,6080.0
Oman,8.0
Pakistan,193.0
Panama,27147.0
Papua New Guinea,2460.0
Paraguay,6918.0
Peru,3328.0
Philippines,3546.0
Poland,9370.0
Portugal,58226.0
Qatar,177.0
Republic of Serbia,7248.0
Republic of the Congo,187.0
Romania,14.0
Russia,18.0
Rwanda,14.0
Saint Kitts and Nevis,24.0
Saint Lucia,189.0
Saint Vincent and the Grenadines,21869.0
San Marino,890.0
Sao Tome and Principe,0.0
Saudi Arabia,4301.0
Senegal,10.0
Seychelles,1131.0
Sierra Leone,0.0
Singapore,270.0
Slovakia,135.0
Slovenia,6083.0
Somalia,144783.0
South Africa,477.0
South Korea,28.0
South Sudan,0.0
Spain,205.0
Sri Lanka,9.0
Sudan,4971.0
Suriname,27100.0
Sweden,36.0
Switzerland,387.0
Syria,3.0
Taiwan,183.0
Tajikistan,0.0
Thailand,24.0
The Bahamas,41.0
Togo,96.0
Trinidad and Tobago,107.0
Tunisia,802.0
Turkey,106133.0
US,250747.0
USA,346389.0
Uganda,63.0
Ukraine,4473.0
United Arab Emirates,7328.0
United Kingdom,8.0
United Republic of Tanzania,2854.0
Uruguay,553.0
Uzbekistan,2158.0
Venezuela,229.0
Vietnam,260.0
West Bank and Gaza,7.0
Western Sahara,0.0
Yemen,0.0
Zambia,124.0
Zimbabwe,13.0
